frame,time,Ball_z,Ball_y,Ball_x,French B4guette_x,French B4guette_y,French B4guette_z,User-63f82723dc_x,User-63f82723dc_y,User-63f82723dc_z,User-63f82723dc_boost,Sayonara_Sammy12_x,Sayonara_Sammy12_y,Sayonara_Sammy12_z,Sayonara_Sammy12_throttle,Sayonara_Sammy12_boost,GMON3YSTR8CASH_x,GMON3YSTR8CASH_y,GMON3YSTR8CASH_z,GMON3YSTR8CASH_boost,GMON3YSTR8CASH_throttle,French B4guette_throttle,GMON3YSTR8CASH_steer,User-63f82723dc_throttle,Sayonara_Sammy12_steer,French B4guette_boost,French B4guette_steer,French B4guette_handbrake,User-63f82723dc_steer,GMON3YSTR8CASH_handbrake,Sayonara_Sammy12_handbrake,User-63f82723dc_handbrake,French B4guette_jump,French B4guette_double_jump,User-63f82723dc_jump,User-63f82723dc_double_jump,Sayonara_Sammy12_jump,Sayonara_Sammy12_double_jump,GMON3YSTR8CASH_jump,GMON3YSTR8CASH_double_jump
0,12.16112,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,12.195844,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,12.2291765,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
3,12.262509,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
4,12.295842,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
5,12.329175,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
6,12.362508,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
7,12.395841,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
8,12.429173,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
9,12.462506,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
10,12.495839,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
11,12.529172,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
12,12.562505,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
13,12.595871,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
14,12.629204,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
15,12.662537,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
16,12.695869,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
17,12.729202,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
18,12.762535,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
19,12.795868,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
20,12.829202,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
21,12.8625345,92.74,0.0,0.0,-2048.0,2560.0,17.01,2048.0,-2560.0,17.01,33.0,-256.0,-3840.0,17.01,0.992,33.0,256.0,3840.0,17.01,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
